% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
0.0013803842646028853                             -7.405375734763124E-10-6.346365050621657E-7i      -1.4492405451855214E-10-7.874922431390437E-7i     -5.5446550847953805E-11-8.414473846771929E-7i     -2.955493846559664E-11-8.658978727760507E-7i      -1.8414458213363086E-11-8.799969106361617E-7i
0.001445439770745928                              -7.754370971489805E-10-6.346367316591375E-7i      -1.5175409757225365E-10-7.87492257892243E-7i      -5.805966409594666E-11-8.414473879807788E-7i      -3.094781920890366E-11-8.658978740400324E-7i      -1.928230466584391E-11-8.799969112532972E-7i
0.0015135612484362072                             -8.119812458942321E-10-6.346369801167895E-7i      -1.5890602808787158E-10-7.874922740688339E-7i     -6.079592925313413E-11-8.414473916031489E-7i      -3.240634431118127E-11-8.658978754259733E-7i      -2.0191051428051937E-11-8.799969119298784E-7i
0.001584893192461114                              -8.502475079409317E-10-6.346372525440729E-7i      -1.6639501577656917E-10-7.874922918060522E-7i     -6.366115024205478E-11-8.414473955749655E-7i      -3.3933607482726664E-11-8.658978769456131E-7i     -2.114262606721408E-11-8.799969126717677E-7i
0.0016595869074375598                             -8.903170203796505E-10-6.346375512532402E-7i      -1.74236945219467E-10-7.874923112545543E-7i       -6.666140450876853E-11-8.414473999299776E-7i      -3.553284823398273E-11-8.658978786118361E-7i      -2.2139046993315812E-11-8.799969134853019E-7i
0.0017378008287493763                             -9.322747406765648E-10-6.34637878779706E-7i       -1.824484495510553E-10-7.874923325793904E-7i      -6.980305591225059E-11-8.414474047051827E-7i      -3.7207458746585885E-11-8.658978804388088E-7i     -2.3182427740161648E-11-8.799969143772526E-7i
0.0018197008586099826                             -9.762096262044597E-10-6.346382379033172E-7i      -1.91046945727278E-10-7.874923559615671E-7i       -7.309276822151886E-11-8.414474099410675E-7i      -3.896099106815156E-11-8.658978824420456E-7i      -2.427498144841315E-11-8.799969153552969E-7i
0.0019054607179632482                             -1.0222148221590798E-9-6.346386316721489E-7i      -2.0005067145538542E-10-7.874923815996219E-7i     -7.65375192487616E-11-8.41447415682117E-7i        -4.079716464632035E-11-8.65897884638595E-7i       -2.5419025559760824E-11-8.79996916427664E-7i
0.001995262314968879                              -1.0703878582391536E-9-6.346390634282324E-7i      -2.0947872386197925E-10-7.874924097111814E-7i     -8.014461564767839E-11-8.414474219770098E-7i      -4.271987421747478E-11-8.658978870470123E-7i      -2.6616986732154442E-11-8.799969176035048E-7i
0.0020892961308540407                             -1.120830854501845E-9-6.346395368358869E-7i       -2.1935109998158175E-10-7.874924405348844E-7i     -8.392170840996454E-11-8.414474288792202E-7i      -4.47331980674898E-11-8.658978896878179E-7i       -2.7871405987065962E-11-8.799969188928065E-7i
0.002187761623949552                              -1.1736507367962668E-9-6.346400559129216E-7i      -2.2968873915199794E-10-7.874924743323874E-7i     -8.787680909112751E-11-8.414474364474103E-7i      -4.6841406681396984E-11-8.658978925834003E-7i     -2.9184944098894167E-11-8.79996920306457E-7i
0.0022908676527677745                             -1.228959462222875E-9-6.346406250645501E-7i       -2.4051356740446234E-10-7.874925113905971E-7i     -9.201830680087182E-11-8.414474447457376E-7i      -4.9048971800941915E-11-8.658978957583307E-7i     -3.056038723856534E-11-8.799969218564983E-7i
0.00239883291901949                               -1.2868742550606472E-9-6.346412491209089E-7i      -2.518485439427032E-10-7.874925520240571E-7i      -9.635498599408614E-11-8.414474538446582E-7i      -5.136057590882864E-11-8.658978992395464E-7i      -3.200065288279689E-11-8.799969235561742E-7i
0.002511886431509582                              -1.3475178536414696E-9-6.34641933377873E-7i       -2.6371770981075103E-10-7.874925965777402E-7i     -1.0089604509942807E-10-8.414474638213796E-7i     -5.378112215952997E-11-8.658979030566448E-7i      -3.350879600253591E-11-8.79996925419719E-7i
0.0026302679918953813                             -1.411018768654525E-9-6.34642683642043E-7i        -2.7614623884887915E-10-7.874926454298907E-7i     -1.0565111602579272E-10-8.414474747607148E-7i     -5.6315744778279974E-11-8.658979072420984E-7i     -3.508801554179472E-11-8.799969274630833E-7i
0.002754228703338166                              -1.4775115533959047E-9-6.346435062799163E-7i      -2.8916049104880683E-10-7.874926989951107E-7i     -1.1063028458772955E-10-8.414474867554346E-7i     -5.896981995046058E-11-8.658979118312415E-7i      -3.6741661202975165E-11-8.799969297036234E-7i
0.002884031503126606                              -1.5471370864872048E-9-6.346444082718679E-7i      -3.027880684157993E-10-7.874927577281678E-7i      -1.15844111892091E-10-8.414474999073646E-7i       -6.174897722279536E-11-8.658979168631907E-7i      -3.8473240551375675E-11-8.799969321603313E-7i
0.003019951720402016                              -1.6200428676125767E-9-6.346453972712949E-7i      -3.170578734606604E-10-7.874928221276233E-7i      -1.2130365673230494E-10-8.414475143281093E-7i     -6.465911144272846E-11-8.658979223805708E-7i      -4.0286426453978714E-11-8.799969348540059E-7i
0.0031622776601683794                             -1.6963833268435971E-9-6.346464816694916E-7i      -3.3200017044046853E-10-7.87492892740116E-7i      -1.2702049903768542E-10-8.414475301402309E-7i     -6.770639526003217E-11-8.658979284302955E-7i      -4.218506486976752E-11-8.799969378075882E-7i
0.003311311214825911                              -1.77632014814583E-9-6.346476706666183E-7i        -3.47646649477719E-10-7.874929701650702E-7i       -1.3300676442614446E-10-8.414475474778126E-7i     -7.089729221711334E-11-8.658979350636832E-7i      -4.417318300639134E-11-8.799969410461013E-7i
0.0034673685045253167                             -1.8600226076586423E-9-6.346489743498943E-7i      -3.6403049369448495E-10-7.874930550597677E-7i     -1.3927514991363341E-10-8.414475664880775E-7i     -7.423857045632169E-11-8.658979423370415E-7i      -4.6254997861236605E-11-8.799969445971163E-7i
0.003630780547701014                              -1.947667927403628E-9-6.346504037786569E-7i       -3.811864494984581E-10-7.874931481447612E-7i      -1.458389508333876E-10-8.414475873324447E-7i      -7.77373170720364E-11-8.658979503121406E-7i       -4.843492516469775E-11-8.799969484906916E-7i
0.0038018939632056127                             -2.039441645042331E-9-6.346519710782746E-7i       -3.9915090017289666E-10-7.874932502103056E-7i     -1.527120890231097E-10-8.414476101877968E-7i      -8.140095314036364E-11-8.658979590566173E-7i      -5.0717588745677916E-11-8.799969527599262E-7i
0.003981071705534973                              -2.1355380003674295E-9-6.346536895425939E-7i      -4.1796194291886967E-10-7.874933621227409E-7i     -1.5990914233771024E-10-8.414476352482304E-7i     -8.523724945490497E-11-8.658979686447447E-7i      -5.310783033691984E-11-8.799969574410335E-7i
0.004168693834703355                              -2.236160339213276E-9-6.346555737465085E-7i       -4.376594695172843E-10-7.874934848320279E-7i      -1.6744537555320092E-10-8.414476627263893E-7i     -8.925434300504986E-11-8.658979791579507E-7i      -5.5610719843628676E-11-8.799969625737931E-7i
0.004365158322401661                              -2.341521535474764E-9-6.346576396692437E-7i       -4.582852507706184E-10-7.874936193798105E-7i      -1.7533677272243942E-10-8.414476928555756E-7i     -9.346075422942799E-11-8.658979906853766E-7i      -5.8231566094547E-11-8.799969682017237E-7i
0.004570881896148752                              -2.451844431970202E-9-6.346599048293823E-7i       -4.798830249110351E-10-7.874937669081226E-7i      -1.836000710550863E-10-8.414477258915275E-7i      -9.786540508227871E-11-8.658980033249865E-7i      -6.097592810080119E-11-8.799969743726064E-7i
0.00478630092322638                               -2.567362300863259E-9-6.346623884330059E-7i       -5.02498590146613E-10-7.874939286693071E-7i       -1.9225279638997517E-10-8.41447762114733E-7i      -1.0247763795004913E-10-8.658980171840568E-7i     -6.38496268437324E-11-8.799969811389326E-7i
0.005011872336272725                              -2.6883193244098508E-9-6.346651115359326E-7i      -5.261799015464441E-10-7.874941060364221E-7i      -2.0131330033792108E-10-8.414478018326336E-7i     -1.0730723545932978E-10-8.65898032380233E-7i      -6.685875761896597E-11-8.799969885579344E-7i
0.005248074602497723                              -2.814971096749209E-9-6.346680972214916E-7i       -5.509771724636228E-10-7.874943005149583E-7i      -2.1080079916948384E-10-8.414478453823647E-7i     -1.1236444121663299E-10-8.658980490424302E-7i     -7.000970296111097E-11-8.799969966927966E-7i
0.005495408738576248                              -2.9475851475385453E-9-6.346713707954376E-7i      -5.769429807009756E-10-7.874945137556962E-7i      -2.2073541453160334E-10-8.414478931337118E-7i     -1.1765998152396003E-10-8.658980673122069E-7i     -7.330914617823597E-11-8.799970056123731E-7i
0.005754399373371567                              -3.086441488155589E-9-6.346749599993431E-7i       -6.041323796443156E-10-7.874947475686311E-7i      -2.311382160786074E-10-8.414479454919195E-7i      -1.2320508811842935E-10-8.658980873446064E-7i     -7.67640855210886E-11-8.799970153926465E-7i
0.006025595860743581                              -3.231833181248174E-9-6.346788952444838E-7i       -6.326030145858109E-10-7.874950039383425E-7i      -2.420312661068777E-10-8.41448002901521E-7i       -1.290115219800101E-10-8.658981093096446E-7i      -8.038184902413093E-11-8.799970261164033E-7i
0.00630957344480193                               -3.384066934357478E-9-6.346832098681014E-7i       -6.624152444826381E-10-7.874952850408723E-7i      -2.534376662855855E-10-8.414480658497394E-7i      -1.350915982602726E-10-8.658981333938885E-7i      -8.417011003996978E-11-8.799970378747988E-7i
0.006606934480075964                              -3.5434637183717124E-9-6.346879404139291E-7i      -6.936322693902202E-10-7.874955932621111E-7i      -2.6538160658315357E-10-8.414481348710165E-7i     -1.4145821238431842E-10-8.658981598016329E-7i     -8.813690350903641E-11-8.799970507676053E-7i
0.006918309709189363                              -3.710359411478325E-9-6.34693126939775E-7i        -7.263202638364933E-10-7.874959312181328E-7i      -2.778884164906857E-10-8.414482105512441E-7i      -1.4812486737923768E-10-8.658981887571588E-7i     -9.229064299389533E-11-8.799970649042475E-7i
0.007244359600749906                              -3.885105469327418E-9-6.346988133540226E-7i       -7.605485164042773E-10-7.874963017773132E-7i      -2.909846186497172E-10-8.414482935327477E-7i      -1.5510570249017915E-10-8.658982205062273E-7i     -9.664013851418818E-11-8.799970804048178E-7i
0.007585775750291836                              -4.06806962200005E-9-6.347050477843702E-7i        -7.963895758044477E-10-7.874967080846385E-7i      -3.046979849965888E-10-8.414483845200022E-7i      -1.6241552313968496E-10-8.658982553183427E-7i     -1.0119461522324259E-10-8.799970974008216E-7i
0.00794328234724282                               -4.259636598353588E-9-6.347118829814717E-7i       -8.339194037252023E-10-7.874971535886633E-7i      -3.190575955373885E-10-8.41448484285316E-7i       -1.7006983229607234E-10-8.658982934890815E-7i     -1.0596373296193605E-10-8.79997116036583E-7i
0.008317637711026709                              -4.460208878246001E-9-6.347193767609257E-7i       -8.732175347771917E-10-7.874976420701339E-7i      -3.340938998822217E-10-8.414485936755091E-7i      -1.780848633171537E-10-8.658983353423356E-7i      -1.1095760673266682E-10-8.799971364702067E-7i
0.008709635899560805                              -4.6702074730281265E-9-6.347275924868882E-7i      -9.143672438311672E-10-7.874981776747609E-7i      -3.4983878165849676E-10-8.414487136191698E-7i     -1.864776143354785E-10-8.658983812335155E-7i      -1.161868281361229E-10-8.799971588752733E-7i
